MONSTER_IDENTIFICATIE;MEETPUNT_IDENTIFICATIE;TYPERING_OMSCHRIJVING;TYPERING_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;EENHEID_CODE;HOEDANIGHEID_OMSCHRIJVING;HOEDANIGHEID_CODE;COMPARTIMENT_OMSCHRIJVING;COMPARTIMENT_CODE;WAARDEBEWERKINGSMETHODE_OMSCHRIJVING;WAARDEBEWERKINGSMETHODE_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARDEBEPALINGSMETHODE_CODE;BEMONSTERINGSSOORT_OMSCHRIJVING;BEMONSTERINGSSOORT_CODE;WAARNEMINGDATUM;WAARNEMINGTIJD;LIMIETSYMBOOL;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;STATUSWAARDE;OPDRACHTGEVENDE_INSTANTIE;MEETAPPARAAT_OMSCHRIJVING;MEETAPPARAAT_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING;BEMONSTERINGSAPPARAAT_CODE;PLAATSBEPALINGSAPPARAAT_OMSCHRIJVING;PLAATSBEPALINGSAPPARAAT_CODE;BEMONSTERINGSHOOGTE;REFERENTIEVLAK;EPSG;X;Y;ORGAAN_OMSCHRIJVING;ORGAAN_CODE;TAXON_NAME
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;15-12-2010;08:00:00;;4,5;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;29-12-2010;07:55:00;;3,7;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;12-01-2011;08:00:00;;5,43;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;26-01-2011;08:01:00;;6,26;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;09-02-2011;08:00:00;;6,93;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;23-02-2011;08:00:00;;6,09;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;09-03-2011;07:35:00;;7,22;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;23-03-2011;08:00:00;;10,9;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;06-04-2011;07:00:00;;13,2;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
;Lobith ponton;;;Temperatuur;T;;;oC;;;Oppervlaktewater;OW;;;Niet genormaliseerde zintuiglijke waardebepaling;ZINTUIGLIJK;Steekmonster;02;20-04-2011;06:45:00;;16,1;;Normale waarde;Definitief;RIZAMON_LAN;;;Pomp;68;;;-100;WATSGL;25831;712875,305959242;5749340,74073841;;;
